aircraft_id,model,manufacturer,capacity,manufacture_year,status,airline
AC00263,E190,Embraer,114,2020,Maintenance,AeroSky
AC00264,B787-9,Boeing,296,2013,Retired,GlobalWings
AC00265,A320neo,Airbus,186,2019,Maintenance,AeroSky
AC00266,B737-800,Boeing,189,2025,Retired,GlobalWings
AC00267,A321neo,Airbus,244,2010,Active,PacificAero
AC00268,B737-800,Boeing,189,2022,Maintenance,AeroSky
AC00269,B787-9,Boeing,296,2008,Maintenance,AeroSky
AC00270,A321neo,Airbus,244,2009,Maintenance,AtlanticJet
AC00271,A320neo,Airbus,186,2021,Active,NovaAir
AC00272,A350-900,Airbus,325,2020,Active,NovaAir
AC00273,E190,Embraer,114,2009,Maintenance,GlobalWings
AC00274,E190,Embraer,114,2021,Active,AeroSky
AC00275,A320neo,Airbus,186,2018,Active,PacificAero
AC00276,A320neo,Airbus,186,2005,Active,AtlanticJet
AC00277,A320neo,Airbus,186,2023,Retired,AtlanticJet
AC00278,A350-900,Airbus,325,2009,Maintenance,PacificAero
AC00279,A350-900,Airbus,325,2016,Active,PacificAero
AC00280,E190,Embraer,114,2017,Maintenance,SkyBridge
AC00281,B787-9,Boeing,296,2012,Retired,NovaAir
AC00282,B787-9,Boeing,296,2018,Active,SkyBridge
AC00283,A321neo,Airbus,244,2020,Maintenance,NovaAir
AC00284,A321neo,Airbus,244,2025,Active,NovaAir
AC00285,B737-800,Boeing,189,2009,Retired,PacificAero
AC00286,A320neo,Airbus,186,2008,Maintenance,AeroSky
AC00287,E190,Embraer,114,2019,Active,AtlanticJet
AC00288,B787-9,Boeing,296,2018,Active,AeroSky
AC00289,A350-900,Airbus,325,2013,Active,PacificAero
AC00290,A321neo,Airbus,244,2017,Active,SkyBridge
AC00291,A321neo,Airbus,244,2022,Maintenance,SkyBridge
AC00292,A321neo,Airbus,244,2020,Retired,AeroSky
AC00293,E190,Embraer,114,2007,Active,AtlanticJet
AC00294,A321neo,Airbus,244,2014,Active,AtlanticJet
AC00295,B737-800,Boeing,189,2018,Active,AtlanticJet
AC00296,A321neo,Airbus,244,2008,Maintenance,GlobalWings
AC00297,A321neo,Airbus,244,2014,Active,AeroSky
AC00298,A320neo,Airbus,186,2006,Active,SkyBridge
AC00299,A320neo,Airbus,186,2018,Active,GlobalWings
AC00300,E190,Embraer,114,2018,Retired,AtlanticJet
AC00301,B787-9,Boeing,296,2010,Active,AeroSky
AC00302,E190,Embraer,114,2017,Retired,AtlanticJet
AC00303,B787-9,Boeing,296,2020,Retired,GlobalWings
AC00304,B787-9,Boeing,296,2019,Active,NovaAir
AC00305,A320neo,Airbus,186,2005,Maintenance,SkyBridge
AC00306,A321neo,Airbus,244,2022,Active,AeroSky
AC00307,A350-900,Airbus,325,2016,Retired,SkyBridge
AC00308,A321neo,Airbus,244,2018,Active,NovaAir
AC00309,A320neo,Airbus,186,2011,Maintenance,NovaAir
AC00310,B737-800,Boeing,189,2012,Maintenance,PacificAero
AC00311,A320neo,Airbus,186,2023,Active,AtlanticJet
AC00312,A320neo,Airbus,186,2005,Maintenance,SkyBridge
AC00313,B737-800,Boeing,189,2023,Active,PacificAero
AC00314,A321neo,Airbus,244,2020,Active,GlobalWings
AC00315,E190,Embraer,114,2016,Active,AtlanticJet
AC00316,B787-9,Boeing,296,2024,Active,AtlanticJet
AC00317,A321neo,Airbus,244,2009,Active,AtlanticJet
AC00318,A321neo,Airbus,244,2006,Active,NovaAir
AC00319,B737-800,Boeing,189,2023,Active,AtlanticJet
AC00320,B787-9,Boeing,296,2007,Active,SkyBridge
AC00321,A321neo,Airbus,244,2018,Active,GlobalWings
AC00322,B787-9,Boeing,296,2022,Active,PacificAero
AC00323,E190,Embraer,114,2013,Active,SkyBridge
AC00324,A350-900,Airbus,325,2014,Active,AeroSky
AC00325,A350-900,Airbus,325,2007,Active,GlobalWings
AC00326,A321neo,Airbus,244,2017,Retired,SkyBridge
AC00327,B737-800,Boeing,189,2017,Active,SkyBridge
AC00328,E190,Embraer,114,2008,Maintenance,SkyBridge
AC00329,A321neo,Airbus,244,2013,Retired,NovaAir
AC00330,A321neo,Airbus,244,2016,Active,AtlanticJet
AC00331,B787-9,Boeing,296,2020,Active,PacificAero
AC00332,E190,Embraer,114,2015,Retired,GlobalWings
AC00333,A321neo,Airbus,244,2007,Maintenance,AtlanticJet
AC00334,A320neo,Airbus,186,2025,Maintenance,AeroSky
AC00335,B787-9,Boeing,296,2006,Active,SkyBridge
AC00336,A350-900,Airbus,325,2008,Active,GlobalWings
AC00337,E190,Embraer,114,2009,Maintenance,NovaAir
AC00338,A320neo,Airbus,186,2022,Maintenance,PacificAero
AC00339,A321neo,Airbus,244,2009,Maintenance,AtlanticJet
AC00340,B737-800,Boeing,189,2020,Retired,NovaAir
AC00341,A320neo,Airbus,186,2006,Active,GlobalWings
AC00342,A350-900,Airbus,325,2019,Active,SkyBridge
AC00343,B737-800,Boeing,189,2016,Retired,AtlanticJet
AC00344,A320neo,Airbus,186,2006,Maintenance,SkyBridge
AC00345,B787-9,Boeing,296,2008,Maintenance,AeroSky
AC00346,A321neo,Airbus,244,2011,Retired,AeroSky
AC00347,B737-800,Boeing,189,2015,Active,GlobalWings
AC00348,E190,Embraer,114,2011,Active,PacificAero
AC00349,B787-9,Boeing,296,2023,Active,GlobalWings
AC00350,A320neo,Airbus,186,2009,Retired,AeroSky
AC00351,A320neo,Airbus,186,2009,Active,PacificAero
AC00352,A320neo,Airbus,186,2010,Active,AtlanticJet
AC00353,B737-800,Boeing,189,2009,Active,SkyBridge
AC00354,B787-9,Boeing,296,2023,Active,AeroSky
AC00355,B787-9,Boeing,296,2013,Active,GlobalWings
AC00356,A321neo,Airbus,244,2018,Retired,AeroSky
AC00357,A321neo,Airbus,244,2007,Maintenance,NovaAir
AC00358,A320neo,Airbus,186,2021,Retired,AeroSky
AC00359,A350-900,Airbus,325,2021,Active,PacificAero
AC00360,B737-800,Boeing,189,2021,Active,NovaAir
AC00361,A321neo,Airbus,244,2005,Active,NovaAir
AC00362,A350-900,Airbus,325,2018,Active,NovaAir
AC00363,A321neo,Airbus,244,2019,Active,AeroSky
AC00364,A320neo,Airbus,186,2024,Active,AeroSky
AC00365,B787-9,Boeing,296,2013,Retired,AtlanticJet
AC00366,E190,Embraer,114,2022,Active,NovaAir
AC00367,E190,Embraer,114,2021,Active,NovaAir
AC00368,E190,Embraer,114,2024,Maintenance,AeroSky
AC00369,A321neo,Airbus,244,2008,Retired,AtlanticJet
AC00370,B787-9,Boeing,296,2018,Maintenance,GlobalWings
AC00371,A350-900,Airbus,325,2015,Maintenance,NovaAir
AC00372,A350-900,Airbus,325,2008,Active,NovaAir
AC00373,A320neo,Airbus,186,2013,Active,GlobalWings
AC00374,A321neo,Airbus,244,2020,Active,AeroSky
AC00375,B737-800,Boeing,189,2007,Maintenance,AeroSky
AC00376,A321neo,Airbus,244,2016,Active,PacificAero
AC00377,B737-800,Boeing,189,2023,Retired,PacificAero
AC00378,A320neo,Airbus,186,2008,Maintenance,SkyBridge
AC00379,A321neo,Airbus,244,2018,Active,SkyBridge
AC00380,E190,Embraer,114,2014,Active,AeroSky
AC00381,E190,Embraer,114,2021,Active,GlobalWings
AC00382,A321neo,Airbus,244,2020,Active,AeroSky
AC00383,A320neo,Airbus,186,2022,Active,AeroSky
AC00384,A320neo,Airbus,186,2023,Active,NovaAir
AC00385,E190,Embraer,114,2024,Retired,AtlanticJet
AC00386,A321neo,Airbus,244,2022,Active,PacificAero
AC00387,A321neo,Airbus,244,2013,Active,GlobalWings
AC00388,A320neo,Airbus,186,2014,Active,SkyBridge
AC00389,B737-800,Boeing,189,2010,Active,PacificAero
AC00390,A321neo,Airbus,244,2017,Active,GlobalWings
AC00391,A321neo,Airbus,244,2025,Active,AeroSky
AC00392,A321neo,Airbus,244,2021,Active,NovaAir
AC00393,A350-900,Airbus,325,2019,Active,GlobalWings
AC00394,A320neo,Airbus,186,2014,Active,PacificAero
AC00395,E190,Embraer,114,2007,Active,GlobalWings
AC00396,B787-9,Boeing,296,2024,Active,AtlanticJet
AC00397,B737-800,Boeing,189,2013,Maintenance,AtlanticJet
AC00398,A350-900,Airbus,325,2020,Retired,NovaAir
AC00399,A350-900,Airbus,325,2013,Active,PacificAero
AC00400,B737-800,Boeing,189,2016,Maintenance,AeroSky
AC00401,A320neo,Airbus,186,2023,Maintenance,PacificAero
AC00402,A321neo,Airbus,244,2014,Active,GlobalWings
AC00403,A350-900,Airbus,325,2024,Active,AeroSky
AC00404,B787-9,Boeing,296,2014,Active,GlobalWings
AC00405,A320neo,Airbus,186,2014,Active,AeroSky
AC00406,B737-800,Boeing,189,2020,Maintenance,GlobalWings
AC00407,B787-9,Boeing,296,2017,Retired,AtlanticJet
AC00408,B787-9,Boeing,296,2021,Retired,AtlanticJet
AC00409,A320neo,Airbus,186,2007,Maintenance,AtlanticJet
AC00410,B737-800,Boeing,189,2018,Active,NovaAir
AC00411,B737-800,Boeing,189,2015,Retired,NovaAir
AC00412,E190,Embraer,114,2017,Maintenance,SkyBridge
AC00413,B737-800,Boeing,189,2017,Active,SkyBridge
AC00414,B787-9,Boeing,296,2024,Maintenance,AtlanticJet
AC00415,A320neo,Airbus,186,2007,Maintenance,AeroSky
AC00416,B787-9,Boeing,296,2018,Retired,NovaAir
AC00417,E190,Embraer,114,2007,Maintenance,SkyBridge
AC00418,A321neo,Airbus,244,2015,Active,SkyBridge
AC00419,B787-9,Boeing,296,2007,Retired,AtlanticJet
AC00420,B737-800,Boeing,189,2021,Retired,GlobalWings
AC00421,A320neo,Airbus,186,2016,Active,GlobalWings
AC00422,B737-800,Boeing,189,2009,Active,GlobalWings
AC00423,B787-9,Boeing,296,2024,Active,AtlanticJet
AC00424,B737-800,Boeing,189,2010,Maintenance,NovaAir
AC00425,E190,Embraer,114,2023,Maintenance,AtlanticJet
AC00426,E190,Embraer,114,2025,Retired,SkyBridge
AC00427,A321neo,Airbus,244,2015,Active,NovaAir
AC00428,B737-800,Boeing,189,2020,Maintenance,AtlanticJet
AC00429,A320neo,Airbus,186,2013,Retired,AeroSky
AC00430,A320neo,Airbus,186,2021,Active,SkyBridge
AC00431,A350-900,Airbus,325,2019,Active,AeroSky
AC00432,A320neo,Airbus,186,2014,Active,AtlanticJet
AC00433,B737-800,Boeing,189,2024,Retired,PacificAero
AC00434,A350-900,Airbus,325,2019,Retired,PacificAero
AC00435,A321neo,Airbus,244,2006,Maintenance,PacificAero
AC00436,A321neo,Airbus,244,2011,Active,PacificAero
AC00437,A350-900,Airbus,325,2021,Active,AeroSky
AC00438,A350-900,Airbus,325,2008,Active,AtlanticJet
AC00439,B737-800,Boeing,189,2021,Active,AeroSky
AC00440,B787-9,Boeing,296,2019,Maintenance,PacificAero
AC00441,E190,Embraer,114,2024,Active,SkyBridge
AC00442,A320neo,Airbus,186,2014,Maintenance,NovaAir
AC00443,A320neo,Airbus,186,2024,Active,AtlanticJet
AC00444,A321neo,Airbus,244,2015,Active,SkyBridge
AC00445,B737-800,Boeing,189,2022,Maintenance,SkyBridge
AC00446,A320neo,Airbus,186,2024,Active,SkyBridge
AC00447,B737-800,Boeing,189,2023,Active,SkyBridge
AC00448,A320neo,Airbus,186,2025,Maintenance,GlobalWings
AC00449,E190,Embraer,114,2007,Active,PacificAero
AC00450,A350-900,Airbus,325,2025,Active,GlobalWings
AC00451,A321neo,Airbus,244,2021,Active,AtlanticJet
AC00452,A321neo,Airbus,244,2018,Retired,SkyBridge
AC00453,B737-800,Boeing,189,2016,Active,GlobalWings
AC00454,B787-9,Boeing,296,2015,Maintenance,GlobalWings
AC00455,B787-9,Boeing,296,2009,Active,AeroSky
AC00456,A320neo,Airbus,186,2008,Retired,PacificAero
AC00457,A321neo,Airbus,244,2021,Active,AtlanticJet
AC00458,A320neo,Airbus,186,2024,Active,PacificAero
AC00459,A350-900,Airbus,325,2009,Active,GlobalWings
